Year,USA Data
1991,24342.2589048189
1992,25418.9907763319
1993,26387.2937338171
1994,27694.853416234
1995,28690.8757013347
1996,29967.7127181749
1997,31459.1389804773
1998,32853.6769523009
1999,34515.3902272076
2000,36329.9560727102
2001,37133.623113437
2002,37997.7596573051
2003,39490.2749557007
2004,41724.6316287624
2005,44123.4070679055
2006,46302.0008800056
2007,48050.2237771135
2008,48570.0459804586
2009,47194.9433547336
2010,48650.6431283336
2011,50065.9665041742
2012,51784.4185738837
2013,53291.1276891406
2014,55123.8497869046
2015,56762.7294515989
2016,57866.7449341091
2017,59907.754260885
2018,62823.309438197
2019,65120.3946628653
